age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
39,blue-collar,married,secondary,no,860,yes,no,cellular,8,312,1,-1,0,unknown,no
46,admin.,married,secondary,no,-522,yes,no,cellular,27,243,3,239,13,other,yes
53,blue-collar,married,primary,no,25,yes,no,unknown,6,266,3,-1,0,unknown,no
48,services,married,secondary,no,1355,no,no,cellular,4,134,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,0,yes,no,cellular,31,79,5,110,7,failure,no
32,management,single,tertiary,no,4,yes,no,unknown,9,179,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,392,no,no,cellular,26,95,6,-1,0,unknown,no
33,admin.,married,secondary,no,6,yes,no,cellular,20,386,1,349,3,other,no
35,blue-collar,married,secondary,no,210,yes,no,cellular,30,626,3,-1,0,unknown,no
43,blue-collar,married,secondary,no,184,no,yes,cellular,16,1019,11,-1,0,unknown,yes
51,retired,divorced,tertiary,no,126,no,yes,unknown,6,152,1,-1,0,unknown,no
54,retired,divorced,tertiary,no,3076,no,no,cellular,27,367,2,-1,0,unknown,yes
44,management,married,tertiary,no,-199,yes,no,telephone,22,261,12,-1,0,unknown,no
49,technician,married,secondary,no,177,yes,yes,cellular,28,90,1,204,1,failure,no
50,management,divorced,tertiary,no,30,no,no,cellular,20,76,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,233,yes,no,cellular,13,66,1,176,1,failure,no
29,admin.,married,tertiary,no,238,no,no,cellular,11,97,1,78,3,success,no
34,blue-collar,married,primary,no,69,no,no,telephone,7,41,1,-1,0,unknown,no
46,services,married,secondary,no,0,yes,no,cellular,22,154,1,124,1,other,no
55,retired,married,tertiary,no,197,no,yes,cellular,8,256,1,-1,0,unknown,no
54,entrepreneur,married,primary,no,3343,yes,yes,unknown,16,216,1,-1,0,unknown,no
42,blue-collar,married,unknown,no,149,yes,no,telephone,23,329,3,-1,0,unknown,no
59,technician,married,secondary,no,0,yes,no,cellular,14,145,1,-1,0,unknown,no
39,services,married,secondary,no,3294,no,yes,cellular,20,116,1,-1,0,unknown,no
25,blue-collar,single,secondary,no,207,yes,no,unknown,28,680,1,-1,0,unknown,no
43,management,divorced,tertiary,no,497,no,no,cellular,13,66,1,363,22,failure,no
41,admin.,married,secondary,no,1021,no,no,cellular,2,224,1,-1,0,unknown,no
32,self-employed,married,primary,no,286,yes,no,cellular,6,175,1,-1,0,unknown,no
55,entrepreneur,married,tertiary,no,625,no,no,unknown,26,48,4,-1,0,unknown,no
67,retired,married,unknown,no,696,no,no,telephone,4,77,2,-1,0,unknown,no
56,blue-collar,married,primary,no,3206,no,no,cellular,18,129,3,-1,0,unknown,no
43,services,married,primary,no,574,yes,no,cellular,8,140,1,-1,0,unknown,no
30,services,single,secondary,no,0,yes,no,cellular,18,131,6,363,9,failure,no
55,management,married,primary,no,338,yes,no,cellular,14,8,4,300,5,failure,no
42,blue-collar,married,secondary,no,1134,yes,no,unknown,28,424,3,-1,0,unknown,no
39,admin.,married,secondary,no,-367,yes,no,cellular,16,667,2,-1,0,unknown,no
29,management,single,tertiary,no,573,yes,yes,unknown,16,190,4,-1,0,unknown,no
27,admin.,single,secondary,no,4745,no,no,telephone,12,411,4,192,1,other,yes
59,retired,divorced,tertiary,no,559,yes,no,unknown,13,168,2,-1,0,unknown,no
37,management,single,tertiary,yes,45,yes,no,unknown,7,204,1,-1,0,unknown,no
28,management,single,tertiary,no,2380,no,no,cellular,14,394,2,-1,0,unknown,no
42,management,married,tertiary,no,1340,yes,no,unknown,14,299,1,-1,0,unknown,no
32,management,single,secondary,no,0,yes,no,cellular,17,139,5,-1,0,unknown,no
36,management,single,tertiary,no,85,no,no,cellular,14,76,1,-1,0,unknown,no
56,management,married,tertiary,no,1407,no,no,cellular,1,388,1,-1,0,unknown,no
25,management,single,tertiary,no,490,yes,no,unknown,6,246,3,-1,0,unknown,no
58,management,married,tertiary,no,299,no,no,cellular,16,120,4,-1,0,unknown,no
52,entrepreneur,divorced,primary,no,278,yes,no,unknown,7,688,2,-1,0,unknown,no
44,admin.,married,secondary,no,132,no,no,cellular,21,103,5,124,4,success,no
46,entrepreneur,married,secondary,no,245,yes,no,cellular,8,78,1,359,3,failure,no
52,blue-collar,married,secondary,no,157,yes,yes,unknown,19,107,2,-1,0,unknown,no
53,admin.,married,tertiary,yes,6,no,no,unknown,19,105,11,-1,0,unknown,no
31,technician,married,secondary,yes,-463,yes,no,unknown,28,210,1,-1,0,unknown,no
38,management,divorced,tertiary,no,219,yes,no,cellular,10,478,1,-1,0,unknown,no
50,admin.,married,tertiary,no,843,no,yes,cellular,27,71,3,-1,0,unknown,no
41,unemployed,married,tertiary,no,0,no,no,cellular,29,882,1,181,3,success,yes
39,services,single,secondary,no,91,no,no,cellular,3,213,1,185,1,success,yes
20,student,single,unknown,no,4137,yes,no,telephone,16,55,2,-1,0,unknown,no
38,entrepreneur,married,primary,no,21,yes,no,cellular,25,65,4,-1,0,unknown,no
